algorithm,n,type,domain,sample,time_ms,memory_kb
StdSort,100000,aleatorio,D7,b,6.43239,0
MergeSort,100000,aleatorio,D7,c,12.9482,0
QuickSort,100000,aleatorio,D7,c,6.72872,0
PatienceSort,100000,aleatorio,D7,c,15.4524,0
StdSort,100000,aleatorio,D7,c,6.09771,0
MergeSort,10000000,ascendente,D1,a,815.999,35968
PatienceSort,10000000,ascendente,D1,a,260.424,3908
StdSort,10000000,ascendente,D1,a,183.256,0
MergeSort,10000000,ascendente,D1,b,805.988,0
PatienceSort,10000000,ascendente,D1,b,281.375,0
StdSort,10000000,ascendente,D1,b,186.874,0
MergeSort,10000000,ascendente,D1,c,752.3,0
PatienceSort,10000000,ascendente,D1,c,281.617,0
StdSort,10000000,ascendente,D1,c,157.703,0
MergeSort,10000000,ascendente,D7,a,786.236,0
PatienceSort,10000000,ascendente,D7,a,3206.34,400572
StdSort,10000000,ascendente,D7,a,206.759,0
MergeSort,10000000,ascendente,D7,b,797.596,0
PatienceSort,10000000,ascendente,D7,b,10977.1,26240
StdSort,10000000,ascendente,D7,b,185.649,0
MergeSort,10000000,ascendente,D7,c,901.398,0
PatienceSort,10000000,ascendente,D7,c,3137.24,220
StdSort,10000000,ascendente,D7,c,158.47,0
MergeSort,10000000,descendente,D1,a,807.235,0
PatienceSort,10000000,descendente,D1,a,217.969,0
StdSort,10000000,descendente,D1,a,122.679,0
MergeSort,10000000,descendente,D1,b,946.076,0
PatienceSort,10000000,descendente,D1,b,187.656,0
StdSort,10000000,descendente,D1,b,-4009.46,0
MergeSort,10000000,descendente,D1,c,817.23,0
PatienceSort,10000000,descendente,D1,c,196.75,0
StdSort,10000000,descendente,D1,c,149.956,0
MergeSort,10000000,descendente,D7,a,781.7,0
PatienceSort,10000000,descendente,D7,a,246.797,0
StdSort,10000000,descendente,D7,a,129.381,0
MergeSort,10000000,descendente,D7,b,732.023,0
PatienceSort,10000000,descendente,D7,b,193.324,0
StdSort,10000000,descendente,D7,b,150.379,0
MergeSort,10000000,descendente,D7,c,799.114,0
PatienceSort,10000000,descendente,D7,c,245.409,0
StdSort,10000000,descendente,D7,c,166.049,0
MergeSort,10000000,aleatorio,D1,a,1222.95,0
QuickSort,10000000,aleatorio,D1,a,3.43472e+06,0
PatienceSort,10000000,aleatorio,D1,a,1445.33,0
StdSort,10000000,aleatorio,D1,a,573.26,0
MergeSort,10000000,aleatorio,D1,b,1208.46,0
QuickSort,10000000,aleatorio,D1,b,3.11083e+06,0
PatienceSort,10000000,aleatorio,D1,b,828.62,0
StdSort,10000000,aleatorio,D1,b,354.192,0
MergeSort,10000000,aleatorio,D1,c,1030.17,0
QuickSort,10000000,aleatorio,D1,c,2.86401e+06,0
PatienceSort,10000000,aleatorio,D1,c,674.045,0
StdSort,10000000,aleatorio,D1,c,345.46,0
MergeSort,10000000,aleatorio,D7,a,1638.05,0
QuickSort,10000000,aleatorio,D7,a,912.491,0
PatienceSort,10000000,aleatorio,D7,a,2865.25,0
StdSort,10000000,aleatorio,D7,a,859.032,0
MergeSort,10000000,aleatorio,D7,b,2034.56,0
QuickSort,10000000,aleatorio,D7,b,894.972,0
PatienceSort,10000000,aleatorio,D7,b,3426.1,0
StdSort,10000000,aleatorio,D7,b,847.396,0
MergeSort,10000000,aleatorio,D7,c,1435.05,0
QuickSort,10000000,aleatorio,D7,c,862.085,0
PatienceSort,10000000,aleatorio,D7,c,2852.91,0
StdSort,10000000,aleatorio,D7,c,869.621,0
